銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"日本道路","1884","東証","-","-","○","6,300","-","無","0.00","5,970","0","-1.64 %","-","35","6,800","-1.64 %","貸借","0.00"
"東亜建設","1885","東証","-","-","○","20,000","-","無","0.00","1,578","-6","-0.62 %","-","468","88,900","-1.98 %","貸借","0.00"
"若築建設","1888","東証","-","-","○","13,600","-","無","0.00","1,375","40","1.40 %","-","192","40,300","-0.29 %","貸借","0.00"
"東洋建設","1890","東証","-","-","○","36,200","-","無","0.00","417","-2","-1.18 %","-","314","189,600","-2.11 %","貸借","0.00"
"五洋建設","1893","東証","○","-","○","28,300","-","無","0.00","530","6","-0.74 %","-","2,105","2,861,300","-2.75 %","貸借","0.00"
"福田組","1899","東証","-","-","○","8,600","12/25","有","0.00","4,610","-35","-0.75 %","-","31","16,700","-1.28 %","貸借","0.00"
"住友林業","1911","東証","-","-","○","158,300","-","無","0.00","1,262","-13","-1.48 %","-","1,047","324,600","-1.94 %","貸借","0.00"
"巴コーポレーション","1921","東証","-","-","○","8,300","-","無","0.00","380","5","0.52 %","-","99","25,300","-1.29 %","貸借","0.00"
"大和ハウス","1925","東証","○","-","○","6,800","03/26","有","0.00","3,130.0","-77.0","-2.55 %","-","4,483","2,398,600","-5.60 %","貸借","0.05"
"ライト工業","1926","東証","-","-","○","68,400","-","無","0.00","1,377","-9","-1.00 %","-","562","145,900","-3.09 %","貸借","0.00"
"積水ハウス","1928","東証","-","-","○","577,200","01/28","有","0.00","1,781.5","-18.5","-1.27 %","-","3,934","2,456,800","-1.68 %","貸借","0.05"
"北陸電気工事","1930","東証","-","-","○","3,900","-","無","0.00","875","-27","-2.56 %","-","50","10,400","-4.47 %","貸借","0.05"
"ユアテック","1934","東証","-","-","○","42,200","-","無","0.00","732","-18","-1.61 %","-","203","58,800","-2.40 %","貸借","0.05"
"四電工","1939","東証","-","-","○","3,800","-","無","0.00","2,662","13","0.07 %","-","6","1,100","-0.29 %","貸借","0.05"
"中電工","1941","東証","-","-","○","37,600","-","無","0.00","2,208","-25","-0.63 %","-","407","83,600","-4.95 %","貸借","0.00"
"関電工","1942","東証","-","-","○","100,400","-","無","0.00","887","-8","-1.55 %","-","830","314,900","-1.55 %","貸借","0.00"
"きんでん","1944","東証","-","-","○","192,900","-","無","0.00","1,637","-1","0.00 %","-","1,272","466,500","-0.96 %","貸借","0.00"
"東京エネシス","1945","東証","-","-","○","24,800","-","無","0.00","899","-5","-0.55 %","-","89","14,200","-3.54 %","貸借","0.00"
"トーエネック","1946","東証","-","-","○","7,500","-","無","0.00","3,050","-30","-1.29 %","-","14","3,200","-3.63 %","貸借","0.00"
"住友電設","1949","東証","-","-","○","19,300","-","無","0.00","1,755","4","0.40 %","-","365","79,500","-1.23 %","貸借","0.00"
"日本電設工業","1950","東証","-","-","○","43,900","-","無","0.00","2,143","-25","-1.19 %","-","249","55,400","-2.67 %","貸借","0.05"
"協和エクシオ","1951","東証","○","-","○","4,500","09/25","有","0.00","2,657","5","-1.19 %","-","1,268","429,900","-1.62 %","貸借","0.00"
"新日本空調","1952","東証","○","-","○","400","09/25","有","0.00","1,710","-12","-0.23 %","-","40","9,000","-1.94 %","貸借","0.05"
"九電工","1959","東証","-","-","○","63,200","-","無","0.00","3,155","-15","-0.62 %","-","362","110,000","-3.07 %","貸借","0.00"
"三機工業","1961","東証","-","-","○","71,900","-","無","0.00","1,254","9","0.07 %","-","552","140,900","-1.41 %","貸借","0.05"
"日揮","1963","東証","○","-","○","28,000","-","無","0.00","1,436","3","-0.55 %","-","2,889","1,649,900","-2.24 %","貸借","0.00"
"中外炉工業","1964","東証","-","-","○","1,500","-","無","0.00","1,605","-5","-0.92 %","-","80","12,700","-2.78 %","貸借","0.00"
"ヤマト","1967","東証","-","-","○","3,900","-","無","0.00","558","-1","-0.88 %","-","58","16,400","-2.10 %","貸借","0.00"
"太平電業","1968","東証","-","-","○","16,300","-","無","0.00","2,132","-59","-2.69 %","-","243","40,200","-5.11 %","貸借","0.00"
"高砂熱学","1969","東証","-","-","○","77,300","-","無","0.00","1,774","18","0.05 %","-","831","215,700","-1.38 %","貸借","0.00"
"三晃金属","1972","東証","-","-","○","2,700","-","無","0.00","2,408","-20","-0.53 %","-","42","6,700","-1.55 %","貸借","0.00"
"ＮＥＣネッツエスアイ","1973","東証","-","-","○","26,000","-","無","0.00","2,811","-2","-0.07 %","-","339","54,300","-2.39 %","貸借","0.00"
"朝日工業社","1975","東証","-","-","○","5,600","-","無","0.00","2,797","56","1.04 %","-","25","5,700","0.00 %","貸借","0.05"
"明星工業","1976","東証","-","-","○","46,300","09/25","有","0.00","719","10","-0.13 %","-","296","82,700","-0.55 %","貸借","0.00"
"大氣社","1979","東証","-","-","○","37,000","-","無","0.00","3,255","-35","-1.36 %","-","212","43,400","-3.69 %","貸借","0.10"
"ダイダン","1980","東証","-","-","○","18,400","-","無","0.00","2,270","6","0.00 %","-","43","6,300","-0.87 %","貸借","0.00"
"日比谷総合設備","1982","東証","-","-","○","25,600","-","無","0.00","1,868","-1","-0.10 %","-","78","17,400","-2.65 %","貸借","0.00"
"東芝プラントシステム","1983","東証","-","-","○","60,800","-","無","0.00","2,017","3","-0.39 %","-","484","120,700","-1.65 %","貸借","0.05"
"日本製粉","2001","東証","○","-","○","3,300","09/25","有","0.00","1,750","15","0.45 %","-","491","108,100","-1.01 %","貸借","0.00"
"日清製粉Ｇ本社","2002","東証","○","-","○","4,100","03/26","有","0.00","2,513","33","1.33 %","-","1,443","582,600","-1.45 %","貸借","0.05"
"昭和産業","2004","東証","-","-","○","12,800","03/26","有","0.00","3,100","-20","-0.64 %","-","98","32,500","-0.95 %","貸借","0.10"
"鳥越製粉","2009","東証","-","-","○","5,200","12/25","有","0.00","879","16","2.20 %","-","84","18,600","-0.67 %","信用","0.00"
"中部飼料","2053","東証","○","-","○","1,900","09/25","有","0.00","1,308","-3","-0.30 %","-","159","35,900","-2.75 %","貸借","0.05"
"フィード・ワン","2060","東証","○","-","○","34,600","-","無","0.00","195","5","1.03 %","-","357","491,700","-3.94 %","貸借","0.00"
"三井製糖","2109","東証","○","-","○","3,700","03/26","有","0.00","2,266","-31","-1.34 %","-","334","56,700","-2.28 %","貸借","0.00"
"日新製糖","2117","東証","-","-","○","11,300","09/25","有","0.00","1,852","2","-0.16 %","-","26","5,300","-1.69 %","貸借","0.05"
"ミクシィ","2121","東証","○","-","○","20,200","-","無","0.00","2,112","-21","-0.51 %","-","722","201,000","-3.64 %","貸借","0.00"
"日本Ｍ＆Ａセンター","2127","東証","○","-","○","12,200","03/26","有","0.00","2,617","-60","-2.31 %","-","3,269","784,400","-3.21 %","貸借","0.00"
"コシダカホールディングス","2157","東証","○","-","○","6,300","08/27","有","0.00","1,488","27","1.84 %","-","1,685","530,100","-0.80 %","貸借","0.00"
"エス・エム・エス","2175","東証","-","-","○","65,400","-","無","0.00","2,583","9","-0.15 %","-","884","196,700","-3.87 %","貸借","0.05"
"パーソルホールディングス","2181","東証","○","-","○","12,400","-","無","0.00","2,530","-6","-1.17 %","-","2,775","1,146,800","-1.47 %","貸借","0.05"
"森永製菓","2201","東証","○","-","○","1,100","-","無","0.00","5,270","50","0.38 %","-","313","111,800","-1.86 %","貸借","0.10"
"中村屋","2204","東証","○","-","○","300","03/26","有","0.00","4,150","-55","-2.23 %","-","14","3,100","-2.23 %","貸借","0.10"
"江崎グリコ","2206","東証","○","-","○","1,900","09/25","有","0.00","4,845","15","-0.30 %","-","481","160,900","-1.42 %","貸借","0.00"
"名糖産業","2207","東証","○","-","○","3,000","09/25","有","0.30","1,450","4","0.27 %","-","6","1,300","-0.13 %","信用","0.00"
"不二家","2211","東証","○","-","○","1,100","12/25","有","0.00","1,950","19","0.25 %","-","72","13,000","-0.51 %","貸借","0.00"
"山崎製パン","2212","東証","-","-","○","23,700","12/25","有","0.00","1,570","8","0.51 %","-","1,070","437,700","-0.56 %","貸借","0.00"
"亀田製菓","2220","東証","○","-","○","1,200","09/25","有","0.00","4,900","25","0.61 %","-","79","12,200","-1.50 %","貸借","0.00"
"寿スピリッツ","2222","東証","○","-","○","5,500","03/26","有","0.00","5,190","-20","-0.95 %","-","243","58,300","-2.44 %","貸借","0.10"
"カルビー","2229","東証","○","-","○","9,200","-","無","0.00","2,970","34","0.74 %","-","1,004","377,200","-1.81 %","貸借","0.00"
"森永乳業","2264","東証","○","-","○","2,000","09/25","有","0.00","4,225","-10","-0.47 %","-","503","153,000","-1.62 %","貸借","0.10"
"六甲バター","2266","東証","-","-","○","4,400","12/25","有","0.00","1,870","-31","-2.24 %","-","104","15,600","-3.45 %","貸借","0.05"
"ヤクルト","2267","東証","○","-","○","3,200","09/25","有","0.00","6,380","0","-1.08 %","-","626","245,200","-1.99 %","貸借","0.00"
"明治ホールディングス","2269","東証","○","-","○","7,700","03/26","有","0.00","7,640","0","-0.26 %","-","690","356,700","-1.41 %","貸借","0.00"
"雪印メグミルク","2270","東証","-","-","○","63,500","-","無","0.00","2,333","-27","-0.72 %","-","1,306","341,100","-2.09 %","貸借","0.00"
"プリマハム","2281","東証","-","-","○","10,600","09/25","有","0.00","2,060","-25","-1.67 %","-","374","70,900","-2.41 %","貸借","0.00"
"日本ハム","2282","東証","○","-","○","6,400","09/25","有","0.00","4,655","10","0.10 %","-","559","281,200","-2.61 %","貸借","0.10"
"丸大食品","2288","東証","-","-","○","15,900","09/25","有","0.00","1,988","-22","0.20 %","-","117","21,400","-2.40 %","貸借","0.05"
"ＳＦｏｏｄｓ","2292","東証","-","-","○","8,600","08/27","有","0.00","3,760","-5","-0.52 %","-","153","30,800","-1.57 %","貸借","0.00"
"伊藤ハム米久ＨＬＤＧＳ","2296","東証","○","-","○","16,400","03/26","有","0.00","733","-1","-0.81 %","-","519","251,200","-3.93 %","貸借","0.05"
"スタジオアリス","2305","東証","○","-","○","1,000","08/27","有","0.00","2,054","-16","-0.67 %","-","101","32,100","-1.01 %","貸借","0.00"
"シミックホールディングス","2309","東証","-","-","○","13,500","-","無","0.00","1,995","-60","-2.73 %","-","248","44,900","-4.36 %","貸借","0.05"
"システナ","2317","東証","○","-","○","24,700","-","無","0.00","1,806","-23","0.27 %","-","1,615","505,500","-1.68 %","貸借","0.05"
"ＮＪＳ","2325","東証","-","-","○","5,400","-","無","0.00","1,746","-28","-1.57 %","-","52","11,100","-1.68 %","貸借","0.00"
"日鉄ソリューションズ","2327","東証","-","-","○","38,700","03/26","有","0.00","3,435","-55","0.00 %","-","836","238,600","-3.51 %","貸借","0.00"
"綜合警備保障","2331","東証","○","-","○","4,200","-","無","0.00","5,110","-40","-0.77 %","-","284","101,400","-2.10 %","貸借","0.00"
"日本駐車場開発","2353","東証","○","-","○","0","07/26","有","0.00","170","1","0.00 %","-","89","298,400","-1.16 %","貸借","0.00"
"カカクコム","2371","東証","-","-","○","116,500","-","無","0.00","2,001","-21","-0.19 %","-","1,997","694,500","-2.86 %","貸借","0.00"
"ルネサンス","2378","東証","○","-","○","9,000","09/25","有","0.00","1,770","-2","-0.61 %","-","425","65,400","-1.44 %","貸借","0.00"
"ディップ","2379","東証","○","-","○","1,500","08/27","有","0.00","1,772","-53","-2.90 %","-","1,736","455,900","-4.00 %","貸借","0.00"
"ＳＢＳホールディングス","2384","東証","○","-","○","3,800","-","無","0.00","1,525","11","-4.02 %","-","2,328","553,300","-6.38 %","貸借","0.00"
"ベネフィット・ワン","2412","東証","○","-","○","8,700","03/26","有","0.00","1,885","-10","-0.73 %","-","2,255","613,000","-3.82 %","貸借","0.00"
"エムスリー","2413","東証","○","-","○","38,800","-","無","0.00","1,977","5","0.30 %","-","2,989","1,641,700","-3.74 %","貸借","0.00"
"アウトソーシング","2427","東証","○","-","○","5,500","12/25","有","0.00","1,290","-31","-2.19 %","-","2,070","955,700","-2.93 %","貸借","0.00"
"ディー・エヌ・エー","2432","東証","○","-","○","32,700","09/25","有","0.00","2,104","20","0.23 %","-","3,832","1,779,800","-2.90 %","貸借","0.05"
"博報堂ＤＹＨＬＤＧＳ","2433","東証","-","-","○","367,600","-","無","0.00","1,826","-14","0.10 %","-","1,796","799,900","-1.51 %","貸借","0.05"
"ＷＤＢホールディングス","2475","東証","-","-","○","2,900","03/26","有","0.00","2,721","-63","-1.69 %","-","335","45,100","-3.85 %","貸借","0.00"
"サッポロホールディングス","2501","東証","○","-","○","8,500","12/25","有","0.00","2,284","13","0.88 %","-","874","264,400","-0.82 %","貸借","0.00"
"アサヒグループホールディン","2502","東証","○","-","○","0","12/25","有","0.00","4,909","-11","0.16 %","-","2,654","856,600","-1.10 %","貸借","0.10"
"キリンＨＤ","2503","東証","○","-","○","22,200","12/25","有","0.00","2,342.5","19.5","0.79 %","-","4,174","1,894,100","-0.48 %","貸借","0.00"
"宝ホールディングス","2531","東証","○","-","○","3,000","03/26","有","0.00","1,123","-3","-0.26 %","-","1,057","482,600","-1.49 %","貸借","0.00"
"オエノンホールディングス","2533","東証","-","-","○","41,700","12/25","有","0.00","361","-2","-0.82 %","-","127","72,300","-1.09 %","貸借","0.05"
"コカ・コーラボトラーズＪＨＤ","2579","東証","○","-","○","11,900","09/25","有","0.00","2,741","6","0.14 %","-","1,608","525,800","-1.79 %","貸借","0.00"
"サントリー食品インター","2587","東証","○","-","○","2,700","-","無","0.00","4,725","55","-0.31 %","-","991","440,700","-1.25 %","貸借","0.00"
"伊藤園","2593","東証","○","-","○","3,300","04/24","有","0.00","5,130","-10","-0.77 %","-","424","132,000","-3.38 %","貸借","0.10"
"キーコーヒー","2594","東証","○","-","○","5,400","09/25","有","0.00","2,105","-5","-0.23 %","-","46","8,300","-1.12 %","貸借","0.05"
"日清オイリオグループ","2602","東証","○","-","○","3,300","03/26","有","0.00","3,015","-30","-0.82 %","-","438","104,200","-2.11 %","貸借","0.00"
"不二製油グループ","2607","東証","○","-","○","3,600","03/26","有","0.00","3,045","15","-0.49 %","-","952","323,000","-1.61 %","貸借","0.00"
"Ｊ－オイルミルズ","2613","東証","○","-","○","1,500","03/26","有","0.00","3,850","-85","-2.16 %","-","93","18,600","-3.62 %","貸借","0.00"
"ローソン","2651","東証","○","-","○","2,500","-","無","0.00","5,190","0","0.00 %","-","610","363,000","-0.57 %","貸借","0.00"
"サンエー","2659","東証","○","-","○","200","02/25","有","0.00","4,385","30","0.34 %","-","116","19,500","-0.56 %","貸借","0.10"
"カワチ薬品","2664","東証","○","-","○","3,800","03/10","有","0.00","1,948","-22","-1.11 %","-","370","85,200","-1.51 %","貸借","0.00"
"エービーシー・マート","2670","東証","○","-","○","200","02/25","有","0.00","7,030","50","0.00 %","-","382","142,300","-1.40 %","貸借","0.15"
"伊藤忠食品","2692","東証","-","-","○","5,400","03/26","有","0.00","4,770","90","0.63 %","-","24","4,800","0.00 %","貸借","0.00"
"エレマテック","2715","東証","-","-","○","21,900","-","無","0.00","987","-1","1.23 %","-","68","11,500","-3.33 %","貸借","0.00"
"パルグループＨＬＤＧＳ","2726","東証","○","-","○","200","02/25","有","0.00","3,210","-55","-1.98 %","-","202","41,400","-4.46 %","貸借","0.00"
"あらた","2733","東証","○","-","○","300","09/25","有","0.00","3,680","0","-0.40 %","-","248","39,300","-3.03 %","貸借","0.00"
"サーラコーポレーション","2734","東証","-","-","○","30,400","11/26","有","0.00","582","-1","0.34 %","-","84","30,600","-2.02 %","貸借","0.00"
"双日","2768","東証","○","-","○","285,900","-","無","0.00","348","-1","0.00 %","-","1,088","3,003,300","-2.24 %","貸借","0.00"
"アルフレッサホールディングス","2784","東証","-","-","○","296,500","-","無","0.00","2,663","-23","-0.85 %","-","1,774","603,300","-1.95 %","貸借","0.00"
"キッコーマン","2801","東証","○","-","○","600","09/25","有","0.00","4,670","25","1.08 %","-","695","403,100","-0.74 %","貸借","0.00"
"味の素","2802","東証","○","-","○","26,900","09/25","有","0.00","1,875.5","27.0","0.86 %","-","3,230","1,447,300","-1.02 %","貸借","0.00"
"キユーピー","2809","東証","-","-","○","148,700","11/26","有","0.00","2,402","12","0.33 %","-","934","250,500","-1.35 %","貸借","0.00"
"ハウス食品Ｇ本社","2810","東証","○","-","○","4,600","09/25","有","0.00","4,130","30","0.24 %","-","590","178,900","-0.84 %","貸借","0.10"
"アリアケジャパン","2815","東証","○","-","○","800","09/25","有","0.00","7,120","30","0.84 %","-","448","119,700","-2.99 %","貸借","0.00"
"ニチレイ","2871","東証","○","-","○","900","-","無","0.00","2,559","-13","-0.07 %","-","2,080","714,100","-3.54 %","貸借","0.00"
"東洋水産","2875","東証","-","-","○","139,400","09/25","有","0.00","4,475","45","-0.44 %","-","929","394,100","-0.88 %","貸借","0.10"
"日清食品ＨＤ","2897","東証","○","-","○","6,400","09/25","有","0.00","6,940","0","-0.85 %","-","492","235,400","-0.99 %","貸借","0.00"
"永谷園ホールディングス","2899","東証","-","-","○","11,700","03/26","有","0.00","2,085","10","0.43 %","-","35","5,700","-1.13 %","貸借","0.00"
"フジッコ","2908","東証","-","-","○","18,200","03/26","有","0.00","2,058","-12","-0.14 %","-","239","46,800","-1.53 %","貸借","0.00"
"わらべや日洋ＨＤ","2918","東証","○","-","○","3,300","08/27","有","0.00","1,682","-42","-1.52 %","-","284","48,100","-4.86 %","貸借","0.00"
"片倉工業","3001","東証","○","-","○","1,000","12/25","有","0.00","1,298","5","0.85 %","-","102","25,000","-1.66 %","貸借","0.00"
"グンゼ","3002","東証","○","-","○","1,500","09/25","有","0.00","4,670","-35","-1.37 %","-","122","22,700","-2.30 %","貸借","0.10"
"ヒューリック","3003","東証","-","-","○","151,000","12/25","有","0.00","890","21","3.00 %","-","2,385","2,626,900","-0.44 %","貸借","0.00"
"クオールホールディングス","3034","東証","○","-","○","5,200","03/26","有","0.00","1,599","-23","-0.62 %","-","460","111,200","-2.26 %","貸借","0.05"
"ビックカメラ","3048","東証","○","-","○","11,800","08/27","有","0.00","1,080","-6","-0.64 %","-","723","347,300","-3.48 %","貸借","0.00"
"あいホールディングス","3076","東証","○","-","○","4,700","-","無","0.00","1,751","-17","-0.96 %","-","340","57,100","-1.84 %","貸借","0.00"
"Ｊ．フロントリテイリング","3086","東証","○","-","○","12,500","08/27","有","0.00","1,222","-13","-1.92 %","-","2,731","1,818,500","-2.39 %","貸借","0.05"
"ドトール・日レスＨＤ","3087","東証","-","-","○","12,200","02/25","有","0.00","2,053","9","0.48 %","-","773","129,700","-1.10 %","貸借","0.00"
"マツモトキヨシＨＬＤＧＳ","3088","東証","○","-","○","6,700","09/25","有","0.00","3,080","-60","-0.64 %","-","1,388","704,100","-6.52 %","貸借","0.00"
"ＺＯＺＯ","3092","東証","○","-","○","27,700","-","無","0.00","1,945","17","0.82 %","-","9,267","7,966,400","-3.71 %","貸借","0.05"
"ココカラファイン","3098","東証","-","-","○","27,600","03/26","有","0.00","5,550","-30","0.00 %","-","386","104,000","-2.28 %","貸借","0.15"
"三越伊勢丹ＨＤ","3099","東証","○","-","○","35,900","09/25","有","0.00","872","5","0.57 %","-","1,509","1,553,700","-0.79 %","貸借","0.00"
"東洋紡","3101","東証","-","-","○","51,300","-","無","0.00","1,273","16","1.27 %","-","1,116","507,600","-0.31 %","貸借","0.00"
"ユニチカ","3103","東証","○","-","○","23,000","-","無","0.00","379","-2","-2.06 %","-","745","752,400","-3.80 %","貸借","0.00"
"富士紡ホールディングス","3104","東証","-","-","○","12,500","-","無","0.00","2,339","-12","-0.25 %","-","82","11,200","-2.86 %","貸借","0.00"
"日清紡ホールディングス","3105","東証","-","-","○","40,600","12/25","有","0.00","818","-9","-0.84 %","-","1,065","923,200","-2.50 %","貸借","0.00"
"倉敷紡績","3106","東証","-","-","○","24,200","-","無","0.00","1,920","-31","-1.53 %","-","111","20,900","-4.00 %","貸借","0.00"
"ダイワボウＨＤ","3107","東証","○","-","○","2,700","-","無","0.00","4,985","-5","0.70 %","-","379","79,800","-2.82 %","貸借","0.00"
"シキボウ","3109","東証","○","-","○","12,600","-","無","0.00","975","6","0.51 %","-","48","9,300","-0.51 %","貸借","0.00"
"日東紡績","3110","東証","-","-","○","29,800","-","無","0.00","2,218","-83","-2.97 %","-","763","122,300","-4.76 %","貸借","0.05"
"トヨタ紡織","3116","東証","-","-","○","82,100","-","無","0.00","1,386","-15","-1.00 %","-","1,096","339,200","-1.91 %","貸借","0.00"
"マクニカ・富士エレＨＬＤＧＳ","3132","東証","○","-","○","6,900","03/26","有","0.00","1,380","-18","-0.71 %","-","606","133,200","-3.49 %","貸借","0.00"
"ウエルシアＨＤ","3141","東証","○","-","○","500","02/25","有","0.00","4,290","-60","-1.37 %","-","838","228,900","-1.94 %","貸借","0.10"
"クリエイトＳＤＨ","3148","東証","○","-","○","5,000","05/26","有","0.00","2,480","-8","-0.36 %","-","544","97,100","-1.89 %","貸借","0.00"
"レスターホールディングス","3156","東証","-","-","○","20,300","-","無","0.00","1,507","0","-1.43 %","-","293","74,200","-1.88 %","貸借","0.00"
"ＴＯＫＡＩホールディングス","3167","東証","○","-","○","26,200","09/25","有","0.00","895","0","0.56 %","-","478","162,700","-0.44 %","貸借","0.00"
"三洋貿易","3176","東証","○","-","○","4,300","-","無","0.00","2,372","-12","-0.46 %","-","181","26,900","-1.04 %","貸借","0.00"
"ウイン・パートナーズ","3183","東証","-","-","○","4,400","03/26","有","0.00","1,141","-54","-3.30 %","-","122","21,100","-8.20 %","貸借","0.05"
"日本毛織","3201","東証","-","-","○","76,100","11/26","有","0.00","850","-7","-0.58 %","-","178","65,900","-1.73 %","貸借","0.00"
"ユナイテッド・スーパーマーケ","3222","東証","○","-","○","10,100","08/27","有","0.00","947","3","0.21 %","-","321","90,900","-1.25 %","貸借","0.00"
"野村不動産ＨＬＤＧＳ","3231","東証","○","-","○","3,500","-","無","0.00","2,325","3","-0.51 %","-","1,774","626,900","-1.94 %","貸借","0.05"
"プレサンスコーポレーション","3254","東証","○","-","○","5,100","03/26","有","0.00","1,503","-53","-1.57 %","-","1,047","488,100","-4.81 %","貸借","0.00"
"オープンハウス","3288","東証","○","-","○","100","09/25","有","0.00","4,525","15","-0.22 %","-","560","184,100","-5.03 %","貸借","0.10"
"東急不動産ＨＤ","3289","東証","○","-","○","34,600","09/25","有","0.00","603","-5","-1.14 %","-","1,122","1,953,000","-4.73 %","貸借","0.00"
"飯田ＧＨＤ","3291","東証","○","-","○","5,600","03/26","有","0.00","1,740","14","0.81 %","-","1,287","485,700","-1.47 %","貸借","0.00"
"帝国繊維","3302","東証","-","-","○","11,900","12/25","有","0.00","2,156","-32","-1.14 %","-","115","19,700","-2.88 %","貸借","0.00"
"コスモス薬品","3349","東証","-","-","○","900","11/26","有","0.00","17,860","-130","-0.11 %","-","333","53,600","-2.19 %","貸借","0.00"
"シップヘルスケアＨＤ","3360","東証","-","-","○","28,200","-","無","0.00","4,715","-5","-0.73 %","-","574","156,800","-1.66 %","貸借","0.00"
"セブン＆アイ・ＨＬＤＧＳ","3382","東証","○","-","○","21,200","-","無","0.00","3,634.0","-14.0","-0.60 %","-","3,409","1,708,100","-1.70 %","貸借","0.00"
"ツルハホールディングス","3391","東証","○","-","○","400","11/12","有","0.00","9,780","50","-0.20 %","-","780","232,300","-0.71 %","貸借","0.00"
"サンマルクホールディングス","3395","東証","○","-","○","7,700","03/26","有","0.00","2,313","13","0.56 %","-","184","32,100","-0.47 %","貸借","0.00"
"帝人","3401","東証","○","-","○","20,500","-","無","0.00","1,805","-4","-1.09 %","-","1,489","827,400","-1.09 %","貸借","0.00"
"東レ","3402","東証","○","-","○","133,600","-","無","0.00","825.7","-2.2","-0.27 %","-","8,449","4,720,600","-1.14 %","貸借","0.00"
"旭化成","3407","東証","○","-","○","30,400","-","無","0.00","1,156.5","-0.5","-0.30 %","-","3,916","2,448,000","-0.94 %","貸借","0.00"
"宮地エンジニアリングＧ","3431","東証","-","-","○","6,900","-","無","0.00","1,738","-12","-1.30 %","-","90","12,900","-2.35 %","貸借","0.00"
"トーカロ","3433","東証","○","-","○","11,200","-","無","0.00","765","-6","-0.39 %","-","584","163,500","-1.54 %","貸借","0.00"
"ＳＵＭＣＯ","3436","東証","○","-","○","6,100","-","無","0.00","1,224","-16","-1.13 %","-","5,836","7,144,900","-2.00 %","貸借","0.05"
"コメダホールディングス","3543","東証","○","-","○","14,800","08/27","有","0.00","2,025","15","0.74 %","-","648","135,400","-0.68 %","貸借","0.00"
"クスリのアオキＨＬＤＧＳ","3549","東証","-","-","○","1,900","05/15","有","0.00","7,410","-10","-0.13 %","-","575","129,300","-1.85 %","貸借","0.15"
"共和レザー","3553","東証","-","-","○","8,300","-","無","0.00","775","-6","-1.89 %","-","30","9,700","-2.26 %","貸借","0.00"
"セーレン","3569","東証","-","-","○","66,400","09/25","有","0.00","1,470","-22","-0.67 %","-","341","77,700","-1.67 %","貸借","0.00"
"小松マテーレ","3580","東証","-","-","○","29,300","-","無","0.00","797","-1","-0.25 %","-","137","31,300","-3.62 %","貸借","0.05"
"ワコールホールディングス","3591","東証","○","-","○","2,400","09/25","有","0.00","2,835","-13","-0.10 %","-","737","150,800","-1.42 %","貸借","0.05"
"ホギメディカル","3593","東証","-","-","○","30,600","09/25","有","0.00","3,275","5","0.00 %","-","257","83,400","-1.94 %","貸借","0.00"
"ＴＳＩホールディングス","3608","東証","○","-","○","800","08/27","有","0.00","640","-17","-1.53 %","-","747","218,100","-3.61 %","貸借","0.00"
"ＴＩＳ","3626","東証","○","-","○","2,000","-","無","0.00","5,490","30","-0.18 %","-","516","224,700","-1.61 %","貸借","0.10"
"グリー","3632","東証","○","-","○","32,900","-","無","0.00","506","-3","0.19 %","-","1,037","1,168,100","-5.06 %","貸借","0.00"
"コーエーテクモＨＤ","3635","東証","-","-","○","28,400","03/26","有","0.00","1,970","4","0.61 %","-","651","125,600","-0.90 %","貸借","0.00"
"三菱総合研究所","3636","東証","○","-","○","600","-","無","0.00","3,365","-35","-1.17 %","-","74","14,100","-1.89 %","貸借","0.00"
"ネクソン","3659","東証","-","-","○","454,400","-","無","0.00","1,564","-31","-1.32 %","-","2,596","1,234,500","-2.49 %","貸借","0.00"
"ブロードリーフ","3673","東証","○","-","○","46,100","12/25","有","0.00","542","-5","-1.81 %","-","482","274,900","-1.81 %","貸借","0.00"
"特種東海製紙","3708","東証","-","-","○","13,400","09/25","有","0.00","3,740","5","-0.92 %","-","25","4,200","-2.60 %","貸借","0.05"
"ティーガイア","3738","東証","-","-","○","23,000","09/25","有","0.00","1,975","27","1.02 %","-","1,171","187,800","-0.80 %","貸借","0.00"
"インターネットイニシアティブ","3774","東証","○","-","○","5,100","-","無","0.00","2,045","-11","-1.77 %","-","716","147,000","-2.61 %","貸借","0.00"
"ＳＲＡホールディングス","3817","東証","○","-","○","3,600","-","無","0.40","2,697","52","1.23 %","-","217","44,000","-1.38 %","信用","0.00"
"朝日ネット","3834","東証","-","-","○","5,300","-","無","0.00","706","6","0.85 %","-","340","104,900","-1.67 %","貸借","0.00"
"王子ホールディングス","3861","東証","○","-","○","11,500","-","無","0.00","622","4","0.32 %","-","2,168","2,286,200","-0.63 %","貸借","0.00"
"日本製紙","3863","東証","○","-","○","4,300","03/26","有","0.00","1,877","8","0.21 %","-","1,226","375,200","-2.23 %","貸借","0.00"
"三菱製紙","3864","東証","○","-","○","20,500","-","無","0.00","552","-4","-0.18 %","-","125","37,600","-1.77 %","貸借","0.00"
"北越コーポレーション","3865","東証","-","-","○","180,400","-","無","0.00","569","5","-0.17 %","-","530","301,300","-2.90 %","貸借","0.00"
